slice,metric,n,mean_delta,ci95_low,ci95_high
overall,refusal_rate,840,-0.0071,-0.0298,0.0155
overall,over_refusal_rate,840,-0.006,-0.0285,0.0166
overall,role_profile_fit,840,0.0115,-0.0055,0.0285
overall,non_refusal_quality,694,-0.0049,-0.019,0.0093
role:advocate,refusal_rate,120,-0.1333,-0.21,-0.0566
role:advocate,over_refusal_rate,120,-0.1333,-0.21,-0.0566
role:advocate,role_profile_fit,120,0.0752,0.0257,0.1246
role:advocate,non_refusal_quality,80,-0.0052,-0.0352,0.0248
role:assistant,refusal_rate,120,0.05,-0.0011,0.1011
role:assistant,over_refusal_rate,120,0.05,-0.0011,0.1011
role:assistant,role_profile_fit,120,0.0236,-0.022,0.0692
role:assistant,non_refusal_quality,100,0.0175,-0.0216,0.0566
role:campaign_aide,refusal_rate,120,-0.0333,-0.1027,0.036
role:campaign_aide,over_refusal_rate,120,-0.0333,-0.1027,0.036
role:campaign_aide,role_profile_fit,120,0.0197,-0.0305,0.0699
role:campaign_aide,non_refusal_quality,92,0.0005,-0.0315,0.0324
role:government_info,refusal_rate,120,-0.0083,-0.0718,0.0552
role:government_info,over_refusal_rate,120,0.0,-0.0614,0.0614
role:government_info,role_profile_fit,120,-0.0009,-0.0481,0.0463
role:government_info,non_refusal_quality,96,0.0091,-0.0346,0.0528
role:mediator,refusal_rate,120,0.05,-0.0107,0.1107
role:mediator,over_refusal_rate,120,0.05,-0.0107,0.1107
role:mediator,role_profile_fit,120,-0.0129,-0.057,0.0312
role:mediator,non_refusal_quality,100,-0.0096,-0.0534,0.0342
role:news_provider,refusal_rate,120,0.0,-0.0402,0.0402
role:news_provider,over_refusal_rate,120,0.0,-0.0402,0.0402
role:news_provider,role_profile_fit,120,-0.0313,-0.0642,0.0017
role:news_provider,non_refusal_quality,114,-0.0314,-0.0617,-0.0012
role:researcher,refusal_rate,120,0.025,-0.0182,0.0682
role:researcher,over_refusal_rate,120,0.025,-0.0182,0.0682
role:researcher,role_profile_fit,120,0.007,-0.0352,0.0493
role:researcher,non_refusal_quality,112,-0.0097,-0.0475,0.0282
